# Blue Trinity blacklist
{"time": "2025-12-04T15:53:21.522088Z", "reason": "XSS Attempt Detected", "ip": "10.0.0.50", "path": "/search?q=<script>alert('XSS')</script>", "line": "10.0.0.50 - - [04/Dec/2025:15:53:21 +0000] \"GET /search?q=<script>alert('XSS')</script> HTTP/1.1\" 400 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:21.722424Z", "reason": "XSS Attempt Detected", "ip": "198.51.100.99", "path": "/comment?text=<script>document.cookie</script>", "line": "198.51.100.99 - - [04/Dec/2025:15:53:21 +0000] \"GET /comment?text=<script>document.cookie</script> HTTP/1.1\" 400 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:22.125014Z", "reason": "XSS Attempt Detected", "ip": "172.16.0.25", "path": "/dashboard?msg=<script>alert(document.domain)</script>", "line": "172.16.0.25 - - [04/Dec/2025:15:53:22 +0000] \"GET /dashboard?msg=<script>alert(document.domain)</script> HTTP/1.1\" 400 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:22.327055Z", "reason": "XSS Attempt Detected", "ip": "172.16.0.25", "path": "/api/data?callback=<script>alert(1)</script>", "line": "172.16.0.25 - - [04/Dec/2025:15:53:22 +0000] \"GET /api/data?callback=<script>alert(1)</script> HTTP/1.1\" 400 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.031568Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.086757Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.135537Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.184212Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.236268Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.286336Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.339153Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.387689Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.439303Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.489108Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
{"time": "2025-12-04T15:53:26.541053Z", "reason": "DoS/Flooding Attempt", "ip": "192.168.1.666", "path": "/health", "line": "192.168.1.666 - - [04/Dec/2025:15:53:26 +0000] \"GET /health HTTP/1.1\" 200 1024 \"-\" \"Mozilla/5.0\""}
